"id","cluster","study","author","year","type_s","group","group_s","adapted","outcome","adjusted","es","v","se","lowerCI","upperCI","control_raw_gap","control_residual_gap","paper_type","n_school","pop_school","samplesize","setting_type","setting","edu_level","identity_type","identity_dis","identity_adv","density_female","density_urm","density_firstgen","density_freelunch","n_domains","duration","duration_rough_month","number","number_rough","primary_outcome","secondary_outcome","control_type","affirm_type","adaptation","reinforcement","appropriate_reading_level","privacy","ungraded","ordinary","known_teacher","delivered_in_classroom","good_for_you","early","before_stress","timing","random_sequence_generation","allocation_concealment","blinding_of_participants_and_personnel","blinding_of_outcome_assessment","incomplete_outcome_data","selective_reporting","other_sources_of_bias","timing_z","ordinary_z","duration_rough_month_z","density_freelunch_z","delivered_in_classroom_z","control_type_z"
1,"Baker, 2019","Baker, 2019","Baker","2019","Interaction","Black","Race","No","GPA","No",0.2521,0.0036,0.0601,0.1342,0.37,NA,NA,"Journal",1,NA,1115,"tertiary","a Midwestern community college ","undergraduate","mixed","Black, Latino, Asian, and other race except White & Female","Male & White",0.47,0.37,NA,NA,12,"the fall 2016 semester",4,"1",1,"GPA","persistence, grade in English class, passing grade in English class and withdraw","other","independent",0,0,NA,1,1,0,1,"class",0,1,0,"early","low","low","low","low","high","unclear","unclear",1.1715857971727,-0.95,-0.632185000577455,NA,0.595086861654462,0.606382978723404
1,"Baker, 2019","Baker, 2019","Baker","2019","Interaction","Hispanic","Race","No","GPA","No",-0.0134,0.0036,0.0599,-0.1308,0.104,NA,NA,"Journal",1,NA,1115,"tertiary","a Midwestern community college ","undergraduate","mixed","Black, Latino, Asian, and other race except White & Female","Male & White",0.47,0.37,NA,NA,12,"the fall 2016 semester",4,"1",1,"GPA","persistence, grade in English class, passing grade in English class and withdraw","other","independent",0,0,NA,1,1,0,1,"class",0,1,0,"early","low","low","low","low","high","unclear","unclear",1.1715857971727,-0.95,-0.632185000577455,NA,0.595086861654462,0.606382978723404
1,"Baker, 2019","Baker, 2019","Baker","2019","Interaction","Asian","Race","No","GPA","No",0.134,0.0036,0.06,0.0165,0.2515,NA,NA,"Journal",1,NA,1115,"tertiary","a Midwestern community college ","undergraduate","mixed","Black, Latino, Asian, and other race except White & Female","Male & White",0.47,0.37,NA,NA,12,"the fall 2016 semester",4,"1",1,"GPA","persistence, grade in English class, passing grade in English class and withdraw","other","independent",0,0,NA,1,1,0,1,"class",0,1,0,"early","low","low","low","low","high","unclear","unclear",1.1715857971727,-0.95,-0.632185000577455,NA,0.595086861654462,0.606382978723404
1,"Baker, 2019","Baker, 2019","Baker","2019","Interaction","Female","Gender","No","GPA","No",-0.0874,0.0036,0.0599,-0.2048,0.0301,NA,NA,"Journal",1,NA,1115,"tertiary","a Midwestern community college ","undergraduate","mixed","Black, Latino, Asian, and other race except White & Female","Male & White",0.47,0.37,NA,NA,12,"the fall 2016 semester",4,"1",1,"GPA","persistence, grade in English class, passing grade in English class and withdraw","other","independent",0,0,NA,1,1,0,1,"class",0,1,0,"early","low","low","low","low","high","unclear","unclear",1.1715857971727,-0.95,-0.632185000577455,NA,0.595086861654462,0.606382978723404
1,"Baker, 2019","Baker, 2019","Baker","2019","Interaction","White","Race","No","GPA","No",0.0024,0.0036,0.0599,-0.115,0.1198,NA,NA,"Journal",1,NA,1115,"tertiary","a Midwestern community college ","undergraduate","mixed","Black, Latino, Asian, and other race except White & Female","Male & White",0.47,0.37,NA,NA,12,"the fall 2016 semester",4,"1",1,"GPA","persistence, grade in English class, passing grade in English class and withdraw","other","independent",0,0,NA,1,1,0,1,"class",0,1,0,"early","low","low","low","low","high","unclear","unclear",1.1715857971727,-0.95,-0.632185000577455,NA,0.595086861654462,0.606382978723404
1,"Baker, 2019","Baker, 2019","Baker","2019","Interaction","White","Race","No","GPA","No",0.0024,0.0036,0.0599,-0.115,0.1198,NA,NA,"Journal",1,NA,1115,"tertiary","a Midwestern community college ","undergraduate","mixed","Black, Latino, Asian, and other race except White & Female","Male & White",0.47,0.37,NA,NA,12,"the fall 2016 semester",4,"1",1,"GPA","persistence, grade in English class, passing grade in English class and withdraw","other","independent",0,0,NA,1,1,0,1,"class",0,1,0,"early","low","low","low","low","high","unclear","unclear",1.1715857971727,-0.95,-0.632185000577455,NA,0.595086861654462,0.606382978723404
2,"Bratter et al.","Bancroft, 2017","Bancroft","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Journal",3,1245,886,"secondary","English classrooms during the 2012–2013 academic year in a large metropolitan school district in Texas where only 8% of the students are white (non- Hispanic), 25% are black, and more than 60% are Hispanic","9th","race","African American","White, Asians, Pacific Islanders, Native American and other",NA,0.88,NA,NA,13,"the four waves occurred over the course of the 2012-2013 academic year (two exercises per semester)",9,"4",4,NA,"Math & Algebra test score","neutral","independent",0,0,NA,1,1,1,1,"class",0,0,1,"before_stress","low","low","low","low","high","unclear","unclear",-0.570772567853367,1.01785714285714,-0.141331854212095,NA,0.595086861654462,-2.59090909090909
3,"Bayly, 2017","Bayly, 2017","Bayly","2017","Minority subgroup","URM or First generation","Mixed","Yes","GPA","No",-0.1783,0.0104,0.1017,-0.3777,0.0212,NA,NA,"Thesis",1,NA,586,"tertiary","a large public university in the western U.S. through the university’s Office of Multicultural Student Services (MSS)","First-year college","first-generation","Underrepresented racial minorities","no comparison",0.535,0.667,0.355,NA,12,"the fall semster",4,"1",1,"GPA",NA,"none","independent",1,0,NA,1,0,0,0,"online",0,1,1,"both","low","low","low","unclear","low","unclear","unclear",-0.570772567853367,-0.95,-0.632185000577455,NA,-0.732414598959337,-2.59090909090909
3,"Bayly, 2017","Bayly, 2017","Bayly","2017","Minority subgroup","URM or First generation","Mixed","No","GPA","No",-0.0896,0.0101,0.1007,-0.2869,0.1078,NA,NA,"Thesis",1,NA,586,"tertiary","a large public university in the western U.S. through the university’s Office of Multicultural Student Services (MSS)","First-year college","first-generation","Underrepresented racial minorities","no comparison",0.535,0.667,0.355,NA,12,"the fall semster",4,"1",1,"GPA",NA,"none","independent",1,0,NA,1,0,0,0,"online",0,1,1,"both","low","low","low","unclear","low","unclear","unclear",-0.570772567853367,-0.95,-0.632185000577455,NA,-0.732414598959337,-2.59090909090909
3,"Bayly, 2017","Bayly, 2017","Bayly","2017","Minority subgroup","URM","Race","No","GPA","Yes",-0.0559,0.0137,0.117,-0.2852,0.1735,NA,NA,"Thesis",1,NA,586,"tertiary","a large public university in the western U.S. through the university’s Office of Multicultural Student Services (MSS)","First-year college","first-generation","Underrepresented racial minorities","no comparison",0.535,0.667,0.355,NA,12,"the fall semster",4,"1",1,"GPA",NA,"none","independent",1,0,NA,1,0,0,0,"online",0,1,1,"both","low","low","low","unclear","low","unclear","unclear",-0.570772567853367,-0.95,-0.632185000577455,NA,-0.732414598959337,-2.59090909090909
3,"Bayly, 2017","Bayly, 2017","Bayly","2017","Minority subgroup","First generation","First generation","No","GPA","Yes",-0.0223,0.0181,0.1345,-0.2859,0.2413,NA,NA,"Thesis",1,NA,586,"tertiary","a large public university in the western U.S. through the university’s Office of Multicultural Student Services (MSS)","First-year college","first-generation","Underrepresented racial minorities","no comparison",0.535,0.667,0.355,NA,12,"the fall semster",4,"1",1,"GPA",NA,"none","independent",1,0,NA,1,0,0,0,"online",0,1,1,"both","low","low","low","unclear","low","unclear","unclear",-0.570772567853367,-0.95,-0.632185000577455,NA,-0.732414598959337,-2.59090909090909
