"PPID","Gender","Race","RaceMarg","Intervention","RecitationC","CoursePointTotal","TookSpringClass"
"4","F","Asian","NonMarg","Control","M",241,1
"10","F","White","NonMarg","Control","M",51,0
"14","F","Latino","Marg","Control","D",181.5,1
"15","M","Asian","NonMarg","Control","D",243.5,1
"18","M","White","NonMarg","VAffirm","L",240,1
"19","F",NA,"NonMarg","VAffirm","H",265,1
"20","M","White","NonMarg","VAffirm","N",270,1
"23","F","Asian","NonMarg","VAffirm","A",70,0
"24","M","White","NonMarg","VAffirm","L",263,1
"29","F","White","NonMarg","VAffirm","B",224.5,1
"30","M","Asian","NonMarg","Control","K",290,1
"36","F","Latino","Marg","Control","P",212,1
"38","F","Multi","Marg","Control","L",162.5,0
"40","F","White","NonMarg","Control","E",203,1
"41","M","Asian","NonMarg","Control","P",266,1
"42","M","White","NonMarg","VAffirm","H",245,1
"44","M","Asian","NonMarg","Control","H",252,0
"47","F","Latino","Marg","VAffirm","I",179,1
"49","M","Asian","NonMarg","Control","J",275,1
"55","F","Asian","NonMarg","Control","D",273,1
"56","F","White","NonMarg","Control","L",94,0
"57","F","White","NonMarg","Control","G",226,1
"58","F","White","NonMarg","Control","J",34,0
"62","M","Black","Marg","VAffirm","O",207,1
"63","M","Asian","NonMarg","Control","D",267,1
"64","Oth","White","NonMarg","Control","E",171,1
"67","F","Asian","NonMarg","VAffirm","E",264,1
"69","F","White","NonMarg","Control","K",231,1
"71","M","Multi","Marg","VAffirm","A",106,0
"74","M","Multi","NonMarg","VAffirm","L",199,0
"77","M","White","NonMarg","VAffirm","L",279,1
"78","M","White","NonMarg","Control","H",215,1
"79","M","Asian","NonMarg","Control","B",264,1
"83","F","Multi","Marg","VAffirm","B",258,1
"84","F","NativeAmer","Marg","VAffirm","K",82,0
"88","F","White","NonMarg","VAffirm","J",208,1
"90","M","Multi","NonMarg","VAffirm","L",286,1
"93","F","Latino","Marg","Control","G",90,0
"94","F","Asian","NonMarg","VAffirm","L",244,1
"98","M","Black","Marg","VAffirm","J",190,1
"99","F","Multi","Marg","VAffirm","C",215,0
"102","F","White","NonMarg","VAffirm","C",208,1
"103","M","White","NonMarg","VAffirm","M",226,1
"105","F","Black","Marg","VAffirm","I",124,0
"107","F","Latino","Marg","VAffirm","F",71,0
"108","F","Asian","NonMarg","VAffirm","E",192,1
"109","M","White","NonMarg","VAffirm","H",276,1
"111","M","Multi","NonMarg","Control","L",252,1
"113","F","White","NonMarg","Control","L",268,1
"115","F","Black","Marg","Control","N",229.5,1
"116","M","Latino","Marg","VAffirm","D",194,1
"118","F","Black","Marg","VAffirm","I",187.5,0
"120","F","Multi","Marg","VAffirm","E",271,1
"122","F","White","NonMarg","VAffirm","O",202,1
"123","M","Latino","Marg","VAffirm","K",271,1
"128","M","Black","Marg","VAffirm","G",245.5,1
"129","F","Asian","NonMarg","Control","L",236,1
"133","M","Asian","NonMarg","Control","O",281,1
"134","M","White","NonMarg","VAffirm","M",193,1
"135","F","Asian","NonMarg","Control","J",228,1
"136","M","NativeAmer","Marg","Control","O",55,0
"140","M","White","NonMarg","Control","L",254,1
"144","M","Multi","Marg","Control","L",265.5,1
"145","F","Black","Marg","Control","M",242,1
"146","M","Oth","NonMarg","Control","M",226.5,1
"147","M","Black","Marg","Control","L",191,0
"148","M","Asian","NonMarg","Control","E",64,0
"149","F","Asian","NonMarg","Control","P",235,1
"151","F","Latino","Marg","Control","L",269,1
"154","F","White","NonMarg","VAffirm","L",233,1
"155","F","Black","Marg","Control","G",183,1
"157","F","Asian","NonMarg","VAffirm","C",260,1
"165","F","White","NonMarg","Control","D",64,0
"166","F","White","NonMarg","VAffirm","P",185,1
"168","F","White","NonMarg","VAffirm","L",271,1
"170","M","White","NonMarg","VAffirm","J",273,1
"174","F","White","NonMarg","Control","C",248,1
"177","F","White","NonMarg","VAffirm","O",235,1
"179","M","Asian","NonMarg","VAffirm","I",243,1
"180","F","Multi","NonMarg","Control","P",241,1
"181","F","White","NonMarg","VAffirm","L",255,1
"184","F","White","NonMarg","VAffirm","I",258,1
"185","F","White","NonMarg","Control","L",264,1
"186","F","Latino","Marg","VAffirm","A",229,1
"189","M","Asian","NonMarg","VAffirm","N",277,1
"191","F","Asian","NonMarg","Control","F",252,1
"192","F","Multi","Marg","VAffirm","P",57,0
"194","F","White","NonMarg","VAffirm","F",242,1
"195","F","Latino","Marg","Control","K",232,1
"196","F","Latino","Marg","Control","F",200,1
"197","F","Latino","Marg","VAffirm","O",227.5,1
"198","M","Asian","NonMarg","Control","J",240,0
"199","F","Oth","Marg","VAffirm","L",191.5,1
"202","F","White","NonMarg","VAffirm","G",201,1
"203","F","Multi","Marg","Control","G",243,1
"205","F","Black","Marg","Control","F",245,1
"206","F","White","NonMarg","Control","L",289,1
"207","M","Latino","Marg","Control","N",218,1
"208","F","Asian","NonMarg","VAffirm","K",215,1
"209","F","Asian","NonMarg","VAffirm","M",234,1
"213","F","Asian","NonMarg","Control","E",81,0
"214","F","Multi","Marg","Control","G",206,1
"215","F","Asian","NonMarg","Control","K",95,0
"217","F","Asian","NonMarg","VAffirm","O",269,1
"218","F","Multi","NonMarg","Control","N",124,0
"219","F","White","NonMarg","VAffirm","L",233,1
"220","F","Latino","Marg","Control","K",210,1
"222","M","Asian","NonMarg","Control","D",280,1
"223","F","Asian","NonMarg","VAffirm","D",254,1
"225","M","Multi","Marg","Control","O",272,1
"227","F","White","NonMarg","VAffirm","O",207,0
"228","F","White","NonMarg","VAffirm","L",260,1
"231","M","White","NonMarg","VAffirm","I",235,1
"233","M","White","NonMarg","Control","L",273,1
"234","F","Asian","NonMarg","Control","E",252,1
"237","M","White","NonMarg","Control","C",290,1
"239","F","Latino","Marg","VAffirm","M",92,0
"241","F","Multi","NonMarg","Control","L",165,0
"243","M","Multi","Marg","VAffirm","L",263,1
"246","M","Latino","Marg","VAffirm","O",212,0
"247","F","Asian","NonMarg","Control","P",186,0
"249","M","White","NonMarg","VAffirm","L",224,1
"250","F","Asian","NonMarg","VAffirm","F",240,1
"251","Oth","Asian","NonMarg","VAffirm","H",190,1
"252","M","White","NonMarg","VAffirm","M",204,1
"253","F","Multi","Marg","Control","D",99,0
"255","F","Multi","Marg","VAffirm","J",231,1
"256","F","White","NonMarg","Control","L",263,1
"257","M","Multi","NonMarg","Control","L",230.5,1
"260","F","Latino","Marg","Control","F",194,0
"261","F","Black","Marg","Control","C",242,1
"263","M","Latino","Marg","Control","K",246,1
"264","F","Asian","NonMarg","VAffirm","G",266,1
"268","M","Multi","Marg","Control","B",179,1
"271","M","Latino","Marg","Control","I",217,1
"275","F","Oth","Marg","Control","E",232,1
"276","F","Multi","Marg","VAffirm","G",254,1
"278","F","White","NonMarg","VAffirm","G",220,1
"280","F","Asian","NonMarg","VAffirm","M",198,1
"281","F","Multi","NonMarg","Control","H",267,1
