id,year,author,paper_type,n_school,pop_school,samplesize,setting_type,setting,edu_level,identity_type,identity_dis,identity_adv,density_female,density_URM,density_firstgen,density_freelunch,n_domains,duration,duration_rough_month,number,number_rough,primary_outcome,secondary_outcome,control_type,affirm_type,Adaptation,Reinforcement,Appropriate_reading_level,Privacy,Ungraded,Ordinary,Known_teacher,Delivered_in_classroom,Good_for_you,Early,Before_stress,Random_sequence_generation,Allocation_concealment,Blinding_of_participants_and_personnel,Blinding_of_outcome_assessment,Incomplete_outcome_data,Selective_reporting,Other_sources_of_bias
1,2019,Baker,Journal,1,NA,1115,university,a Midwestern community college ,undergraduate,mixed,"Black, Latino, Asian, and other race except White & Female",Male & White,0.47,0.37,NA,NA,12,the fall 2016 semester,4,1,1,GPA,"persistence, grade in English class, passing grade in English class and withdraw",other,independent,0,0,NA,1,1,0,1,class,0,1,0,low,low,low,low,high,unclear,unclear
2,2017,Bancroft,Journal,3,1245,886,high school,"English classrooms during the 2012–2013 academic year in a large metropolitan school district in Texas where only 8% of the students are white (non- Hispanic), 25% are black, and more than 60% are Hispanic",9th,race,African American,"White, Asians, Pacific Islanders, Native American and other",NA,0.88,NA,NA,13,the four waves occurred over the course of the 2012-2013 academic year (two exercises per semester),9,4,4,NA,Math & Algebra test score,neutral,independent,0,0,NA,1,1,1,1,class,0,0,1,low,low,low,low,high,unclear,unclear
3,2017,Bayly,Thesis,1,NA,586,university,a large public university in the western U.S. through the university’s Office of Multicultural Student Services (MSS),First-year college,first-generation,Underrepresented racial minorities,no comparison,0.535,0.667,0.355,NA,12,the fall semster,4,1,1,GPA,NA,none,independent,1,0,NA,1,0,0,0,online,0,1,1,low,low,low,unclear,low,unclear,unclear
4,under review,Binning,Journal,1,NA,163,middle school,"a middle school serving a medium-sized suburban town on the
Eastern seaboard of the United States",6th-8th,gender,Female,Male,0.5,0.46,NA,NA,11,3 school years,33,1~8,8,GPA,NA,mixed,independent,0,0,NA,NA,0,1,1,class,0,1,1,low,low,low,low,low,unclear,unclear
5,2012,Borman,Institutional report,3,NA,1318,middle school,3 St. Paul Public Schools middle schools,"7th, 8th",mixed,Female & Black,Male & White,0.49,0.49,NA,0.75,11,"March 8, 2011 - the last week of March",0.75,1,1,NA,Reading & Math test score,other,independent,0,1,NA,1,1,0,1,class,0,0,1,low,low,low,low,low,unclear,unclear
6,2015,Borman,Conference,11,1706,927,middle school,Madison Metropolitan School District (MMSD) school district,7th-9th,race,Black & Hispanic,white and asian,0.5,0.35,NA,0.42,11,"2011-2012, August to June",9,4,4,GPA,NA,other,independent,0,1,NA,1,1,1,1,class,0,1,1,low,low,low,low,unclear,unclear,unclear
7,2016,Borman,Journal,11,1706,926,middle school,Madison Metropolitan School District (MMSD) school district,7th,race,"American Indian, African American, Hispanic, and Pacific Islander",white and asian,0.5,0.37,NA,0.43,11,"2011-2012, August to June",9,4,4,GPA,"Reading, Math & Language test score",other,independent,0,1,NA,1,1,1,1,class,0,1,1,low,low,low,low,unclear,unclear,unclear
8,2018,Borman,Journal,11,1706,920,middle school,Madison Metropolitan School District (MMSD) school district,7th,race,Black & Hispanic,white and asian,0.5,0.37,NA,0.43,11,2011-2014,33,4,4,GPA,NA,other,independent,0,1,NA,1,1,1,1,class,0,1,1,low,low,low,low,unclear,unclear,unclear
9,2013,Bowen,Journal,1,NA,274,middle school,one middle school in a mostly urban area of the southeastern United States,6th-8th,race,African American,Asian/White/multiracial,0.504,0.861,NA,0.8,NA,4 academic quarters,10,1,1,NA,Social Studies grades,other,independent,0,0,NA,1,1,0,1,class,0,0,1,low,low,low,unclear,high,unclear,unclear
10,2016,Bratter,Journal,3,1245,886,high school,"English classrooms during the 2012–2013 academic year in a large metropolitan school district in Texas where only 8% of the students are white (non- Hispanic), 25% are black, and more than 60% are Hispanic",9th,race,African American,"White, Asians, Pacific Islanders, Native American and other",0.5,0.88,NA,0.38,12,the 2012–2013 academic year,9,4,4,NA,"English, Reading & Algebra test score",neutral,independent,0,0,NA,1,1,1,1,class,0,0,1,low,low,low,low,high,unclear,unclear
